PROKKA_MOD_PART0_00010	pfam00535	3e-74
PROKKA_MOD_PART0_00010	pfam00535	3e-42
PROKKA_MOD_PART0_00011	pfam00535	1e-08
PROKKA_MOD_PART0_00011	pfam00535	1e-06
PROKKA_MOD_PART0_00012	pfam08241	5e-17
PROKKA_MOD_PART0_00016	pfam00437	2e-12
PROKKA_MOD_PART0_00018	pfam02391	1e-50
PROKKA_MOD_PART0_00020	pfam13701	8e-10
PROKKA_MOD_PART0_00021	pfam01212	5e-07
PROKKA_MOD_PART0_00023	pfam02517	2e-06
PROKKA_MOD_PART0_00027	pfam02547	3e-06
PROKKA_MOD_PART0_00033	pfam13287	4e-19
PROKKA_MOD_PART0_00043	pfam05193	2e-18
PROKKA_MOD_PART0_00049	pfam13585	2e-25
PROKKA_MOD_PART0_00052	pfam02991	2e-23
PROKKA_MOD_PART0_00054	pfam13173	6e-16
PROKKA_MOD_PART0_00056	pfam07228	5e-26
PROKKA_MOD_PART0_00058	pfam00534	2e-16
PROKKA_MOD_PART0_00060	pfam00535	2e-09
PROKKA_MOD_PART0_00061	pfam00535	1e-06
PROKKA_MOD_PART0_00064	pfam00534	4e-40
PROKKA_MOD_PART0_00065	pfam13489	7e-16
PROKKA_MOD_PART0_00066	pfam03721	1e-12
PROKKA_MOD_PART0_00067	pfam00534	4e-28
PROKKA_MOD_PART0_00069	pfam00908	4e-17
PROKKA_MOD_PART0_00074	pfam00801	1e-10
PROKKA_MOD_PART0_00076	pfam10609	1e-25
PROKKA_MOD_PART0_00077	pfam01343	1e-45
PROKKA_MOD_PART0_00078	pfam07044	1e-18
PROKKA_MOD_PART0_00079	pfam12705	3e-16
PROKKA_MOD_PART0_00080	pfam01242	2e-07
PROKKA_MOD_PART0_00083	pfam12695	2e-09
PROKKA_MOD_PART0_00084	pfam02146	1e-19
PROKKA_MOD_PART0_00086	pfam00877	3e-18
PROKKA_MOD_PART0_00092	pfam00702	2e-32
PROKKA_MOD_PART0_00093	pfam13604	6e-24
PROKKA_MOD_PART0_00096	pfam07991	3e-61
PROKKA_MOD_PART0_00100	pfam03446	8e-24
PROKKA_MOD_PART0_00104	pfam00675	2e-12
PROKKA_MOD_PART0_00105	pfam00575	8e-11
PROKKA_MOD_PART0_00108	pfam00072	5e-08
PROKKA_MOD_PART0_00109	pfam02518	7e-07
PROKKA_MOD_PART0_00110	pfam00291	4e-42
PROKKA_MOD_PART0_00113	pfam02624	9e-34
PROKKA_MOD_PART0_00118	pfam13243	2e-16
PROKKA_MOD_PART0_00122	pfam00488	2e-73
PROKKA_MOD_PART0_00124	pfam01934	8e-67
PROKKA_MOD_PART0_00126	pfam00109	1e-32
PROKKA_MOD_PART0_00129	pfam01568	2e-18
PROKKA_MOD_PART0_00140	pfam03448	4e-28
PROKKA_MOD_PART0_00142	pfam04519	2e-11
PROKKA_MOD_PART0_00149	pfam00905	6e-50
PROKKA_MOD_PART0_00152	pfam02769	9e-49
PROKKA_MOD_PART0_00153	pfam00106	2e-34
PROKKA_MOD_PART0_00154	pfam02615	3e-96
PROKKA_MOD_PART0_00160	pfam00534	2e-20
PROKKA_MOD_PART0_00165	pfam01370	2e-12
PROKKA_MOD_PART0_00168	pfam13307	3e-08
